report_date,campaign_key,campaign_name,platform,campaign_group,funnel_stage,campaign_key_type,receita,orders,visits,investimento,impressions,clicks,roas,receita_safe_ad,receita_excecao_manual,receita_pmax_sem_anuncio,receita_por_nome_campanha,receita_outro,receita_anuncio_ambiguo,receita_nao_casado,investimento_anuncio,investimento_campanha,pct_receita_assertiva,pct_receita_anuncio_ambiguo,pct_receita_assertiva_alta,pct_investimento_anuncio,motivos_receita,motivos_investimento
2026-05-07,name|azul|kayak|azulmontebrand-web_fsr_pt_br pt_br flight sponsoredresult,AZULMONTEBRAND-WEB_FSR_PT_BR PT_BR FLIGHT SPONSOREDRESULT,Kayak,NÃO IDENTIFICADO,NÃO IDENTIFICADO,name,,,,0,1,0,,,,,,,,,0,0,,,,,,
2026-05-07,name|azul|kayak|azulhbo-mob_fhboad_pt_br pt_br flight hbo,AZULHBO-MOB_FHBOAD_PT_BR PT_BR FLIGHT HBO,Kayak,NÃO IDENTIFICADO,NÃO IDENTIFICADO,name,,,,144,440105,36,,,,,,,,,0,144,,,,0,,campanha
2026-05-07,name|azul|kayak|azulparin-web pt_br flight inline,AZULPARIN-WEB PT_BR FLIGHT INLINE,Kayak,NÃO IDENTIFICADO,NÃO IDENTIFICADO,name,,,,0,2,0,,,,,,,,,0,0,,,,,,
2026-05-07,name|azul|uol|brv_va_uol_display_lf_parintins_pass,BRV_VA_UOL_DISPLAY_LF_PARINTINS_PASS,UOL,PARINTINS,Conversão,name,,,,0,101587,43,,,,,,,,,0,0,,,,,,
2026-05-07,name|azul|kayak|não identificado,NÃO IDENTIFICADO,Kayak,NÃO IDENTIFICADO,NÃO IDENTIFICADO,name,,,,406.6,0,155,,,,,,,,,0,406.6,,,,0,,campanha
2026-05-07,name|azul|awin|não identificado,NÃO IDENTIFICADO,Awin,NÃO IDENTIFICADO,Conversão,name,,,,15954.6596,0,0,,,,,,,,,0,15954.6596,,,,0,,campanha
2026-05-07,id|azul|google ads|18185234105,BRV_VA_GOOGLE_SEARCH_LF_AON-EUA-NBRD_PASS,Google Ads,AON-EUA-NBRD,Conversão,id,,,,1267.3400000000001,4397,263,,,,,,,,,1267.3400000000001,0,,,,100,,anuncio
2026-05-07,name|azul|kayak|azulmontebrand-mob_fsr_pt_br pt_br flight sponsoredresult,AZULMONTEBRAND-MOB_FSR_PT_BR PT_BR FLIGHT SPONSOREDRESULT,Kayak,NÃO IDENTIFICADO,NÃO IDENTIFICADO,name,,,,0,3,0,,,,,,,,,0,0,,,,,,
2026-05-07,name|azul|kayak|azulcmp2frontdoor pt_br frontdoor flight compare to,AZULCMP2FRONTDOOR PT_BR FRONTDOOR FLIGHT COMPARE TO,Kayak,NÃO IDENTIFICADO,NÃO IDENTIFICADO,name,,,,4428.5999999999995,2783,2684,,,,,,,,,0,4428.5999999999995,,,,0,,campanha
2026-05-07,name|azul|vivo|brv_va_vivo_display_lf_copa-do-mundo_pass,BRV_VA_VIVO_DISPLAY_LF_COPA-DO-MUNDO_PASS,Vivo,COPA-DO-MUNDO,Conversão,name,,,,516.16864864864965,49735,820,,,,,,,,,0,516.16864864864965,,,,0,,campanha
2026-05-07,id|azul|google ads|23482609150,BRV_VA_GOOGLE_SEARCH_LF_SAZONAL-NBRD_PASS,Google Ads,SAZONAL-NBRD,Conversão,id,,,,3176.91,10709,945,,,,,,,,,3176.91,0,,,,100,,anuncio
2026-05-07,name|azul|bing ads|brv_va_bing_search_lf_aon-novas-rotas-nbrd_pass,BRV_VA_BING_SEARCH_LF_AON-NOVAS-ROTAS-NBRD_PASS,Bing Ads,AON-NOVAS-ROTAS-NBRD,Conversão,name,,,,3947.63,14066,202,,,,,,,,,0,3947.63,,,,0,,campanha
2026-05-07,name|azul|kayak|azulmonte-web pt_br flight inline,AZULMONTE-WEB PT_BR FLIGHT INLINE,Kayak,NÃO IDENTIFICADO,NÃO IDENTIFICADO,name,,,,0,62,0,,,,,,,,,0,0,,,,,,
2026-05-07,id|azul|google ads|23300311398,BRV_VA_GOOGLE_APP_MF_ANDROID_ENGAJAMENTO_PASS,Google Ads,ANDROID,Consideração,id,,,,5125.84,779688,7329,,,,,,,,,5125.84,0,,,,100,,anuncio
2026-05-07,name|azul|skyscanner|br | flights | inline | itinerary plus | sam (desktop),BR | FLIGHTS | INLINE | ITINERARY PLUS | SAM (DESKTOP),Skyscanner,INLINE,Conversão,name,,,,4306.5,255836,783,,,,,,,,,0,4306.5,,,,0,,campanha
2026-05-07,name|azul|bing ads|brv_va_bing_search_lf_aon-generica-nbrd_pass,BRV_VA_BING_SEARCH_LF_AON-GENERICA-NBRD_PASS,Bing Ads,AON-GENERICA-NBRD,Conversão,name,,,,2856.51,281809,1989,,,,,,,,,0,2856.51,,,,0,,campanha
2026-05-07,name|azul|skyscanner|br | premium iab + mobile | ros,BR | PREMIUM IAB + MOBILE | ROS,Skyscanner,NÃO IDENTIFICADO,NÃO IDENTIFICADO,name,,,,4498.563019288561,150074,203,,,,,,,,,0,4498.563019288561,,,,0,,campanha
2026-05-07,name|azul|kayak|azulparinbrand-mob_fsr_pt_br pt_br flight sponsoredresult,AZULPARINBRAND-MOB_FSR_PT_BR PT_BR FLIGHT SPONSOREDRESULT,Kayak,NÃO IDENTIFICADO,NÃO IDENTIFICADO,name,,,,0,1,0,,,,,,,,,0,0,,,,,,
2026-05-07,name|azul|kayak|azulpascoa-web pt_br flight inline,AZULPASCOA-WEB PT_BR FLIGHT INLINE,Kayak,NÃO IDENTIFICADO,NÃO IDENTIFICADO,name,,,,294.5,41628,95,,,,,,,,,0,294.5,,,,0,,campanha
